Antennapattern,Azimuth,Downtilt,Frequency,Gain,Height,Latitude,Longitude,Name,Number,Polarisation,Power,Power Mode,Power Unit,Cable Loss,Cable Length,Cable Loss dB/100m,Radiating cable loss,Coupling loss,Distance for coupling loss,Carrier,Signal/system index for DAS,Index for MIMO systems
Y:\work\feko_files\antennas\VVSSP\msi\VVSSP-360S-F_VBandCombined_07DT_2110.msi,0.000000,0.000000,2115.000000,7.118000,52.000000,4513157.328157,428452.413900,Browning,1,0,36.000000,OutputPA,dBm,0,0.000000,2.000000,2.000000,60.000000,2.000000,1,-1,-1
Y:\work\feko_files\antennas\VVSSP\msi\VVSSP-360S-F_VBandCombined_07DT_2110.msi,0.000000,0.000000,2115.000000,7.118000,11.300000,4513230.860000,429266.670000,EBC-DD1,2,0,36.000000,OutputPA,dBm,0,0.000000,2.000000,2.000000,60.000000,2.000000,1,-1,-1
Y:\work\feko_files\antennas\VVSSP\msi\VVSSP-360S-F_VBandCombined_07DT_2110.msi,0.000000,0.000000,2115.000000,7.118000,8.800000,4513282.970000,429437.330000,GH-DD1,3,0,36.000000,OutputPA,dBm,0,0.000000,2.000000,2.000000,60.000000,2.000000,1,-1,-1
Y:\work\feko_files\antennas\VVSSP\msi\VVSSP-360S-F_VBandCombined_07DT_2110.msi,0.000000,0.000000,2115.000000,7.118000,8.800000,4513882.050000,429038.100000,Mario-DD1,4,0,36.000000,OutputPA,dBm,0,0.000000,2.000000,2.000000,60.000000,2.000000,1,-1,-1
Y:\work\feko_files\antennas\VVSSP\msi\VVSSP-360S-F_VBandCombined_07DT_2110.msi,0.000000,0.000000,2115.000000,7.118000,18.000000,4513435.810000,428616.810000,MEB-north,5,0,36.000000,OutputPA,dBm,0,0.000000,2.000000,2.000000,60.000000,2.000000,1,-1,-1
Y:\work\feko_files\antennas\VVSSP\msi\VVSSP-360S-F_SBandCombined_00DT_3600.msi,0.000000,0.000000,3600.000000,4.518000,18.000000,4513386.485143,428613.485501,MEB-south,6,0,36.000000,OutputPA,dBm,0,0.000000,2.000000,2.000000,60.000000,2.000000,-1,-1,-1
Y:\work\feko_files\antennas\VVSSP\msi\VVSSP-360S-F_VBandCombined_07DT_2110.msi,0.000000,0.000000,2115.000000,7.118000,8.800000,4513550.390000,429217.570000,Moran-DD1,7,0,36.000000,OutputPA,dBm,0,0.000000,2.000000,2.000000,60.000000,2.000000,1,-1,-1
Y:\work\feko_files\antennas\VVSSP\msi\VVSSP-360S-F_VBandCombined_07DT_2110.msi,0.000000,0.000000,2115.000000,7.118000,8.800000,4513399.270000,429070.270000,USTAR-DD1,8,0,36.000000,OutputPA,dBm,0,0.000000,2.000000,2.000000,60.000000,2.000000,1,-1,-1
Y:\work\feko_files\antennas\VVSSP\msi\VVSSP-360S-F_VBandCombined_07DT_2110.msi,0.000000,0.000000,2115.000000,7.118000,8.800000,4513686.420000,428843.450000,Wasatch-DD1,9,0,36.000000,OutputPA,dBm,0,0.000000,2.000000,2.000000,60.000000,2.000000,1,-1,-1
